Action,Time,Sensor,
Movement,"October 21, 2016 at 04:31PM",Motion Sensor,
Movement,"October 21, 2016 at 04:32PM",Motion Sensor,
Movement,"October 21, 2016 at 04:33PM",Motion Sensor,
Movement,"October 21, 2016 at 04:34PM",Motion Sensor,
Movement,"October 21, 2016 at 04:35PM",Motion Sensor,
Movement,"October 21, 2016 at 04:35PM",Motion Sensor,
Movement,"October 21, 2016 at 04:36PM",Motion Sensor,
Movement,"October 21, 2016 at 04:36PM",Motion Sensor,
Movement,"October 21, 2016 at 04:37PM",Motion Sensor,
Movement,"October 21, 2016 at 04:38PM",Motion Sensor,
Movement,"October 21, 2016 at 04:39PM",Motion Sensor,
Movement,"October 21, 2016 at 04:39PM",Motion Sensor,
Movement,"October 21, 2016 at 04:40PM",Motion Sensor,
Movement,"October 21, 2016 at 04:40PM",Motion Sensor,
Movement,"October 21, 2016 at 04:41PM",Motion Sensor,
Movement,"October 21, 2016 at 04:41PM",Motion Sensor,
Movement,"October 21, 2016 at 04:42PM",Motion Sensor,
Movement,"October 21, 2016 at 04:43PM",Motion Sensor,
Movement,"October 21, 2016 at 04:44PM",Motion Sensor,
Movement,"October 21, 2016 at 04:45PM",Motion Sensor,
Movement,"October 21, 2016 at 04:46PM",Motion Sensor,
Movement,"October 21, 2016 at 04:46PM",Motion Sensor,
Movement,"October 21, 2016 at 04:48PM",Motion Sensor,
Movement,"October 21, 2016 at 04:48PM",Motion Sensor,
Open,"October 21, 2016 at 04:48PM",Wireless Lab door,
Movement,"October 21, 2016 at 04:48PM",Motion Sensor,
Movement,"October 21, 2016 at 04:49PM",Motion Sensor,
