Open	2016-10-20 11:36:00
Closed	2016-10-20 11:36:00
Open	2016-10-20 11:53:00
Closed	2016-10-20 11:53:00
Open	2016-10-20 12:06:00
Closed	2016-10-20 12:06:00
Open	2016-10-20 12:46:00
Closed	2016-10-20 12:46:00
Movement	2016-10-20 01:11:00
Open	2016-10-20 01:11:00
Closed	2016-10-20 01:11:00
Open	2016-10-20 01:12:00
Closed	2016-10-20 01:12:00
Movement	2016-10-20 01:12:00
Movement	2016-10-20 01:16:00
Movement	2016-10-20 01:17:00
Movement	2016-10-20 01:19:00
Open	2016-10-20 01:19:00
Closed	2016-10-20 01:19:00
Open	2016-10-20 01:19:00
Open	2016-10-20 01:20:00
Movement	2016-10-20 01:20:00
Movement	2016-10-20 01:22:00
Open	2016-10-20 01:22:00
Closed	2016-10-20 01:22:00
Open	2016-10-20 01:24:00
Movement	2016-10-20 01:24:00
Open	2016-10-20 01:24:00
Closed	2016-10-20 01:24:00
Open	2016-10-20 02:50:00
Movement	2016-10-20 02:50:00
Closed	2016-10-20 02:50:00
Movement	2016-10-20 02:51:00
Open	2016-10-20 02:51:00
Closed	2016-10-20 02:51:00
Open	2016-10-20 02:57:00
Movement	2016-10-20 02:57:00
Closed	2016-10-20 02:57:00
Movement	2016-10-20 02:59:00
Open	2016-10-20 02:59:00
Closed	2016-10-20 02:59:00
Open	2016-10-20 03:20:00
Movement	2016-10-20 03:20:00
Closed	2016-10-20 03:20:00
Movement	2016-10-20 03:20:00
Movement	2016-10-20 03:21:00
Movement	2016-10-20 03:23:00
Movement	2016-10-20 03:23:00
Movement	2016-10-20 03:24:00
Open	2016-10-20 03:24:00
Closed	2016-10-20 03:24:00
Open	2016-10-20 04:22:00
Movement	2016-10-20 04:22:00
Closed	2016-10-20 04:22:00
Movement	2016-10-20 04:24:00
Open	2016-10-20 04:24:00
Closed	2016-10-20 04:24:00
Open	2016-10-20 04:39:00
Movement	2016-10-20 04:39:00
Closed	2016-10-20 04:39:00
Movement	2016-10-20 04:41:00
Open	2016-10-20 04:42:00
Closed	2016-10-20 04:42:00
Movement	2016-10-20 04:43:00
Closed	2016-10-20 04:43:00
Movement	2016-10-20 04:51:00
Open	2016-10-20 04:51:00
Closed	2016-10-20 04:51:00
Open	2016-10-20 05:09:00
Movement	2016-10-20 05:09:00
Closed	2016-10-20 05:09:00
Movement	2016-10-20 05:10:00
Movement	2016-10-20 05:13:00
Open	2016-10-20 05:13:00
Closed	2016-10-20 05:13:00
Movement	2016-10-20 05:13:00
Open	2016-10-20 05:14:00
Closed	2016-10-20 05:14:00
Movement	2016-10-20 05:15:00
Movement	2016-10-20 05:19:00
Movement	2016-10-20 05:20:00
Movement	2016-10-20 05:21:00
Movement	2016-10-20 05:21:00
Movement	2016-10-20 05:22:00
Movement	2016-10-20 05:22:00
Movement	2016-10-20 05:23:00
Movement	2016-10-20 05:23:00
Movement	2016-10-20 05:23:00
Open	2016-10-20 05:24:00
Closed	2016-10-20 05:24:00
Movement	2016-10-20 05:24:00
Movement	2016-10-20 05:25:00
Movement	2016-10-20 05:26:00
Open	2016-10-20 05:26:00
Closed	2016-10-20 05:26:00
Movement	2016-10-20 05:28:00
Movement	2016-10-20 05:29:00
Movement	2016-10-20 05:30:00
Movement	2016-10-20 05:31:00
Movement	2016-10-20 05:32:00
Movement	2016-10-20 05:35:00
Movement	2016-10-20 05:36:00
Open	2016-10-20 05:37:00
Closed	2016-10-20 05:37:00
Movement	2016-10-20 05:39:00
Movement	2016-10-20 05:41:00
Movement	2016-10-20 05:42:00
Movement	2016-10-20 05:43:00
Movement	2016-10-20 05:43:00
Movement	2016-10-20 05:44:00
Movement	2016-10-20 05:44:00
Movement	2016-10-20 05:45:00
Movement	2016-10-20 05:46:00
Movement	2016-10-20 05:46:00
Movement	2016-10-20 05:47:00
Movement	2016-10-20 05:47:00
Open	2016-10-20 05:48:00
Closed	2016-10-20 05:48:00
Movement	2016-10-20 05:49:00
Movement	2016-10-20 05:49:00
Open	2016-10-20 05:49:00
Closed	2016-10-20 05:49:00
Open	2016-10-20 05:52:00
Movement	2016-10-20 05:53:00
Closed	2016-10-20 05:53:00
Movement	2016-10-20 05:53:00
Movement	2016-10-20 05:54:00
Movement	2016-10-20 05:54:00
Movement	2016-10-20 05:55:00
Movement	2016-10-20 05:55:00
Movement	2016-10-20 05:56:00
Movement	2016-10-20 05:56:00
Movement	2016-10-20 05:57:00
Movement	2016-10-20 05:58:00
Movement	2016-10-20 05:58:00
Movement	2016-10-20 05:58:00
Open	2016-10-20 05:59:00
Closed	2016-10-20 05:59:00
Movement	2016-10-20 05:59:00
Movement	2016-10-20 05:59:00
Movement	2016-10-20 06:00:00
Movement	2016-10-20 06:00:00
Open	2016-10-20 06:01:00
Closed	2016-10-20 06:01:00
Movement	2016-10-20 08:42:00
Movement	2016-10-20 08:44:00
Movement	2016-10-20 08:47:00
Movement	2016-10-20 08:48:00
Movement	2016-10-20 08:52:00
Movement	2016-10-20 08:58:00
Movement	2016-10-20 08:59:00
Movement	2016-10-20 09:00:00
Movement	2016-10-20 09:01:00
Movement	2016-10-20 09:02:00
Movement	2016-10-20 09:02:00
Movement	2016-10-20 09:03:00
Movement	2016-10-20 09:03:00
Movement	2016-10-20 09:19:00
Movement	2016-10-20 09:27:00
Movement	2016-10-20 09:28:00
Movement	2016-10-20 09:32:00
Movement	2016-10-20 09:33:00
Movement	2016-10-20 09:35:00
Movement	2016-10-20 09:38:00
